,맥주,년,평점
160,Budweiser, 2020,2.1097560975609757
161,Burge Meester Shandy Lemon, 2016,2.5
162,Burge Meester Shandy Lemon, 2019,2.1
163,Carlsberg Pilsner, 2000,3.0
164,Carlsberg Pilsner, 2001,2.785185185185185
165,Carlsberg Pilsner, 2002,2.454878048780488
166,Carlsberg Pilsner, 2003,2.3898734177215193
167,Carlsberg Pilsner, 2004,2.155421686746988
168,Carlsberg Pilsner, 2005,2.269090909090909
169,Carlsberg Pilsner, 2006,2.1756521739130434
170,Carlsberg Pilsner, 2007,2.264516129032258
171,Carlsberg Pilsner, 2008,2.2353333333333336
172,Carlsberg Pilsner, 2009,2.1096491228070176
173,Carlsberg Pilsner, 2010,2.213636363636364
174,Carlsberg Pilsner, 2011,2.222340425531915
175,Carlsberg Pilsner, 2012,2.24375
176,Carlsberg Pilsner, 2013,2.265079365079365
177,Carlsberg Pilsner, 2014,2.2120879120879122
178,Carlsberg Pilsner, 2015,2.2961038961038964
179,Carlsberg Pilsner, 2016,2.3375
180,Carlsberg Pilsner, 2017,2.2533333333333334
181,Carlsberg Pilsner, 2018,2.3568627450980393
182,Carlsberg Pilsner, 2019,2.2984126984126987
183,Carlsberg Pilsner, 2020,2.3806451612903223
184,Carlsberg Pilsner, 2021,1.6
185,Cass Fresh, 2002,1.2833333333333334
186,Cass Fresh, 2003,1.525
187,Cass Fresh, 2004,1.5625
188,Cass Fresh, 2005,1.5250000000000001
189,Cass Fresh, 2006,1.7538461538461538
190,Cass Fresh, 2007,1.575
191,Cass Fresh, 2008,1.4333333333333333
192,Cass Fresh, 2009,1.5727272727272728
193,Cass Fresh, 2010,1.3857142857142857
194,Cass Fresh, 2011,1.45
195,Cass Fresh, 2012,1.7999999999999998
196,Cass Fresh, 2013,1.8214285714285714
197,Cass Fresh, 2014,1.7791666666666668
198,Cass Fresh, 2015,1.9000000000000001
199,Cass Fresh, 2016,1.7685714285714285
200,Cass Fresh, 2017,1.8642857142857143
201,Cass Fresh, 2018,1.912
202,Cass Fresh, 2019,1.9600000000000002
203,Cass Fresh, 2020,1.9714285714285715
204,Castlemaine XXXX Gold Lager, 2000,2.2
205,Castlemaine XXXX Gold Lager, 2001,1.8666666666666665
206,Castlemaine XXXX Gold Lager, 2002,2.4214285714285713
207,Castlemaine XXXX Gold Lager, 2003,1.64375
208,Castlemaine XXXX Gold Lager, 2004,1.6454545454545455
209,Castlemaine XXXX Gold Lager, 2005,1.6846153846153848
210,Castlemaine XXXX Gold Lager, 2006,1.4666666666666668
211,Castlemaine XXXX Gold Lager, 2007,1.65625
212,Castlemaine XXXX Gold Lager, 2008,2.085714285714286
213,Castlemaine XXXX Gold Lager, 2009,1.83
214,Castlemaine XXXX Gold Lager, 2010,1.9125
215,Castlemaine XXXX Gold Lager, 2011,1.26
216,Castlemaine XXXX Gold Lager, 2012,1.5125
217,Castlemaine XXXX Gold Lager, 2013,2.390909090909091
218,Castlemaine XXXX Gold Lager, 2014,1.4933333333333332
219,Castlemaine XXXX Gold Lager, 2015,1.9
220,Castlemaine XXXX Gold Lager, 2016,2.7875
221,Castlemaine XXXX Gold Lager, 2017,2.15
222,Castlemaine XXXX Gold Lager, 2018,1.625
223,Castlemaine XXXX Gold Lager, 2019,2.98
224,Castlemaine XXXX Gold Lager, 2020,2.3400000000000003
225,Desperados, 2002,1.8277777777777777
226,Desperados, 2003,1.5499999999999998
227,Desperados, 2004,1.2526315789473685
228,Desperados, 2005,1.3559999999999999
229,Desperados, 2006,1.4255813953488372
230,Desperados, 2007,1.8105263157894738
231,Desperados, 2008,1.8457142857142856
232,Desperados, 2009,1.562857142857143
233,Desperados, 2010,1.9066666666666665
234,Desperados, 2011,1.875
235,Desperados, 2012,1.9482758620689655
236,Desperados, 2013,1.7840579710144926
237,Desperados, 2014,1.8030612244897959
238,Desperados, 2015,1.7494736842105263
239,Desperados, 2016,1.7636363636363637
240,Desperados, 2017,1.8703125
241,Desperados, 2018,2.107894736842105
242,Desperados, 2019,2.09
243,Desperados, 2020,1.8909090909090909
244,Desperados, 2021,3.7
245,Edelweiss Weissbier Snowfresh, 2007,3.468965517241379
246,Edelweiss Weissbier Snowfresh, 2008,3.3328125
247,Edelweiss Weissbier Snowfresh, 2009,3.129090909090909
248,Edelweiss Weissbier Snowfresh, 2010,3.2633333333333336
249,Edelweiss Weissbier Snowfresh, 2011,3.182608695652174
250,Edelweiss Weissbier Snowfresh, 2012,3.182352941176471
251,Edelweiss Weissbier Snowfresh, 2013,3.3125
252,Edelweiss Weissbier Snowfresh, 2014,3.345833333333333
253,Edelweiss Weissbier Snowfresh, 2015,3.1291666666666664
254,Edelweiss Weissbier Snowfresh, 2016,3.4166666666666665
255,Edelweiss Weissbier Snowfresh, 2017,3.227272727272727
256,Edelweiss Weissbier Snowfresh, 2018,3.3299999999999996
257,Edelweiss Weissbier Snowfresh, 2019,3.257142857142857
258,Edelweiss Weissbier Snowfresh, 2020,2.5999999999999996
259,Egger Grapefruit Radler, 2013,2.2
260,Egger Grapefruit Radler, 2014,2.246153846153846
261,Egger Grapefruit Radler, 2015,2.2733333333333334
262,Egger Grapefruit Radler, 2016,2.375
263,Egger Grapefruit Radler, 2017,2.6333333333333333
264,Egger Grapefruit Radler, 2018,2.55
265,Egger Grapefruit Radler, 2019,2.7
266,Egger Grapefruit Radler, 2020,2.3666666666666667
267,Egger Märzenbier, 2006,2.775
268,Egger Märzenbier, 2007,2.4285714285714284
269,Egger Märzenbier, 2008,2.4642857142857144
270,Egger Märzenbier, 2009,2.1799999999999997
271,Egger Märzenbier, 2010,2.5357142857142856
272,Egger Märzenbier, 2011,2.38
273,Egger Märzenbier, 2012,2.5916666666666663
274,Egger Märzenbier, 2013,2.3375
275,Egger Märzenbier, 2014,2.4058823529411764
276,Egger Märzenbier, 2015,2.5944444444444446
277,Egger Märzenbier, 2016,2.588888888888889
278,Egger Märzenbier, 2017,2.4
279,Egger Märzenbier, 2018,2.3545454545454545
280,Egger Märzenbier, 2019,2.5533333333333332
281,Egger Märzenbier, 2020,2.73
282,Egger Zwickl, 2014,2.9000000000000004
283,Egger Zwickl, 2016,2.5
284,Egger Zwickl, 2018,2.1
285,Egger Zwickl, 2019,2.8
286,Egger Zwickl, 2020,2.9
287,Eichbaum Apostel Bräu, 2007,2.8
288,Eichbaum Apostel Bräu, 2008,2.772727272727273
289,Eichbaum Apostel Bräu, 2009,2.611111111111111
290,Eichbaum Apostel Bräu, 2010,2.3076923076923075
291,Eichbaum Apostel Bräu, 2011,2.55
292,Eichbaum Apostel Bräu, 2012,2.33125
293,Eichbaum Apostel Bräu, 2013,2.246153846153846
294,Eichbaum Apostel Bräu, 2014,2.3272727272727276
295,Eichbaum Apostel Bräu, 2015,2.314285714285714
296,Eichbaum Apostel Bräu, 2016,2.65
297,Eichbaum Apostel Bräu, 2017,2.5444444444444443
298,Eichbaum Apostel Bräu, 2018,2.3428571428571425
299,Eichbaum Apostel Bräu, 2019,2.4285714285714284
300,Eichbaum Apostel Bräu, 2021,2.7
301,Erdinger Weissbier, 2000,3.175
302,Erdinger Weissbier, 2001,3.4266666666666667
303,Erdinger Weissbier, 2002,3.1840579710144925
304,Erdinger Weissbier, 2003,3.1493670886075953
305,Erdinger Weissbier, 2004,3.161764705882353
306,Erdinger Weissbier, 2005,3.1891156462585033
307,Erdinger Weissbier, 2006,3.095705521472393
308,Erdinger Weissbier, 2007,3.1313186813186813
309,Erdinger Weissbier, 2008,3.15609756097561
310,Erdinger Weissbier, 2009,3.12875
311,Erdinger Weissbier, 2010,3.0888888888888886
312,Erdinger Weissbier, 2011,3.160135135135135
313,Erdinger Weissbier, 2012,3.173333333333334
314,Erdinger Weissbier, 2013,3.259009009009009
315,Erdinger Weissbier, 2014,3.1293388429752063
316,Erdinger Weissbier, 2015,3.131720430107527
317,Erdinger Weissbier, 2016,3.1163793103448274
318,Erdinger Weissbier, 2017,3.1856060606060606
319,Erdinger Weissbier, 2018,3.1265822784810124
320,Erdinger Weissbier, 2019,3.1746031746031744
321,Erdinger Weissbier, 2020,3.215909090909091
322,Erdinger Weissbier, 2021,4.1
323,Erdinger Weissbier Dunkel, 2000,4.3
324,Erdinger Weissbier Dunkel, 2001,3.46
325,Erdinger Weissbier Dunkel, 2002,3.3808510638297875
326,Erdinger Weissbier Dunkel, 2003,3.2414285714285715
327,Erdinger Weissbier Dunkel, 2004,3.316
328,Erdinger Weissbier Dunkel, 2005,3.2549549549549552
329,Erdinger Weissbier Dunkel, 2006,3.180392156862745
330,Erdinger Weissbier Dunkel, 2007,3.231707317073171
331,Erdinger Weissbier Dunkel, 2008,3.1655172413793102
